# title: Table 430.247 Full-Load Current in Amperes, dc Motors
# edition: 2026
# header_rows: 3
# note: *These are average dc quantities.
Horsepower,Armature Voltage Rating*,,,,,
,90 Volts,120 Volts,180 Volts,240 Volts,500 Volts,550 Volts
horsepower,90_volts,120_volts,180_volts,240_volts,500_volts,550_volts
1/4,4.0,3.1,2.0,1.6,,
1/3,5.2,4.1,2.6,2.0,,
1/2,6.8,5.4,3.4,2.7,,
3/4,9.6,7.6,4.8,3.8,,
1,12.2,9.5,6.1,4.7,,
1 1/2,,13.2,8.3,6.6,,
2,,17,10.8,8.5,,
3,,25,16,12.2,,
5,,40,27,20,,
7 1/2,,58,,29,13.6,12.2
10,,76,,38,18,16
15,,,,55,27,24
20,,,,72,34,31
25,,,,89,43,38
30,,,,106,51,46
40,,,,140,67,61
50,,,,173,83,75
60,,,,206,99,90
75,,,,255,123,111
100,,,,341,164,148
125,,,,425,205,185
150,,,,506,246,222
200,,,,675,330,294
