# title: Table 430.251(C) Conversion Table of Polyphase Design BE and Design CE
#   Maximum Locked-Rotor Currents for Selection of Disconnecting Means and
#   Controllers as Determined from Horsepower and Voltage Rating and Design
#   Letter
# edition: 2026
# header_rows: 3
# note: Note: This table shall be used only with 430.110, 440.12, 440.41, and 455.8(C).
"Maximum Motor Locked-Rotor Current in Amperes, Two- and Three-Phase, Design BE and Design CE",,,,,,
Rated Horsepower,"115 Volts BE, CE","200 Volts BE, CE","208 Volts BE, CE","230 Volts BE, CE","460 Volts BE, CE","575 Volts BE, CE"
rated_horsepower,115_volts_be_ce,200_volts_be_ce,208_volts_be_ce,230_volts_be_ce,460_volts_be_ce,575_volts_be_ce
1/2,40.9,23.5,22.6,20.4,10.2,8.2
3/4,52.5,30.2,29.0,26.2,13.1,10.5
1,63.6,36.6,35.2,31.8,15.9,12.7
1 1/2,82.8,47.6,45.8,41.4,20.7,16.6
2,112,64.6,62.1,56.2,28.1,22.5
3,,95.3,91.6,82.8,41.4,33.1
5,,160,154,139,69.7,55.7
7 1/2,,238,229,207,104,82.8
10,,301,290,262,131,105
15,,445,427,387,193,155
20,,603,580,524,262,210
25,,748,719,650,325,260
30,,889,855,773,387,309
40,,1119,1076,973,487,389
50,,1389,1335,1207,604,483
60,,1679,1614,1460,730,584
75,,2064,1985,1795,897,718
100,,2583,2484,2246,1123,898
125,,3118,2998,2711,1356,1084
150,,3811,3664,3313,1657,1325
200,,5166,4968,4492,2246,1797
250,,,,,2786,2229
300,,,,,3313,2651
350,,,,,3765,3012
400,,,,,4492,3594
450,,,,,5046,4036
500,,,,,5616,4492
