# title: Table 4 Article 362 — Electrical Nonmetallic Tubing (ENT)
# edition: 2026
# header_rows: 4
,Article 362 — Electrical Nonmetallic Tubing (ENT),,,,,,,,,,,,
Metric Designator,Trade Size,Over 2 Wires 40%,,60%,,1 Wire 53%,,2 Wires 31%,,Nominal Internal Diameter,,Total Area 100%,
,,mm²,in.²,mm²,in.²,mm²,in.²,mm²,in.²,mm,in.,mm²,in.²
metric_designator,trade_size,over_2_wires_40_area_mm2,over_2_wires_40_area_in2,area_60_mm2,area_60_in2,one_wire_53_area_mm2,one_wire_53_area_in2,two_wires_31_area_mm2,two_wires_31_area_in2,nominal_internal_diameter_mm,nominal_internal_diameter_in,total_area_100_mm2,total_area_100_in2
16,1/2,73,0.114,110,0.171,97,0.151,57,0.088,15.3,0.602,184,0.285
21,3/4,131,0.203,197,0.305,174,0.269,102,0.157,20.4,0.804,328,0.508
27,1,215,0.333,322,0.499,284,0.441,166,0.258,26.1,1.029,537,0.832
35,1 1/4,375,0.581,562,0.872,497,0.770,291,0.450,34.5,1.36,937,1.453
41,1 1/2,512,0.794,769,1.191,679,1.052,397,0.616,40.4,1.59,1281,1.986
53,2,849,1.316,1274,1.975,1125,1.744,658,1.020,52,2.047,2123,3.291
63,2 1/2,,,,,,,,,,,,
78,3,,,,,,,,,,,,
91,3 1/2,,,,,,,,,,,,
