# title: Table 4 Article 342 — Intermediate Metal Conduit (IMC)
# edition: 2026
# header_rows: 4
,Article 342 — Intermediate Metal Conduit (IMC),,,,,,,,,,,,
Metric Designator,Trade Size,Over 2 Wires 40%,,60%,,1 Wire 53%,,2 Wires 31%,,Nominal Internal Diameter,,Total Area 100%,
,,mm²,in.²,mm²,in.²,mm²,in.²,mm²,in.²,mm,in.,mm²,in.²
metric_designator,trade_size,over_2_wires_40_area_mm2,over_2_wires_40_area_in2,area_60_mm2,area_60_in2,one_wire_53_area_mm2,one_wire_53_area_in2,two_wires_31_area_mm2,two_wires_31_area_in2,nominal_internal_diameter_mm,nominal_internal_diameter_in,total_area_100_mm2,total_area_100_in2
12,3/8,,,,,,,,,,,,
16,1/2,89,0.137,133,0.205,117,0.181,69,0.106,16.8,0.660,222,0.342
21,3/4,151,0.235,226,0.352,200,0.311,117,0.182,21.9,0.864,377,0.586
27,1,248,0.384,372,0.575,329,0.508,192,0.297,28.1,1.105,620,0.959
35,1 1/4,425,0.659,638,0.988,564,0.873,330,0.510,36.8,1.448,1064,1.647
41,1 1/2,573,0.890,859,1.335,759,1.179,444,0.690,42.7,1.683,1432,2.225
53,2,937,1.452,1405,2.178,1241,1.924,726,1.125,54.6,2.150,2341,3.630
63,2 1/2,1323,2.054,1985,3.081,1753,2.722,1026,1.592,64.9,2.557,3308,5.135
78,3,2046,3.169,3069,4.753,2711,4.199,1586,2.456,80.7,3.176,5115,7.922
91,3 1/2,2729,4.234,4093,6.351,3616,5.610,2115,3.281,93.2,3.671,6822,10.584
103,4,3490,5.452,5235,8.179,4624,7.224,2705,4.226,105.4,4.166,8725,13.631
129,5,5455,8.528,8183,12.792,7229,11.30,4228,6.610,131.78,5.210,13639,21.32
155,6,7878,12.304,11817,18.456,10439,16.302,6106,9.536,158.36,6.258,19696,30.76
