# title: Table 4 Article 356 — Liquidtight Flexible Nonmetallic Conduit (LFNC-A*)
# edition: 2026
# header_rows: 4
# note: *Corresponds to Article 100,Conduit, Liquidtight Flexible Nonmetallic (LFNC)list item (1).
,Article 356 — Liquidtight Flexible Nonmetallic Conduit (LFNC-A*),,,,,,,,,,,,
Metric Designator,Trade Size,Over 2 Wires 40%,,60%,,1 Wire 53%,,2 Wires 31%,,Nominal Internal Diameter,,Total Area 100%,
,,mm²,in.²,mm²,in.²,mm²,in.²,mm²,in.²,mm,in.,mm²,in.²
metric_designator,trade_size,over_2_wires_40_area_mm2,over_2_wires_40_area_in2,area_60_mm2,area_60_in2,one_wire_53_area_mm2,one_wire_53_area_in2,two_wires_31_area_mm2,two_wires_31_area_in2,nominal_internal_diameter_mm,nominal_internal_diameter_in,total_area_100_mm2,total_area_100_in2
12,3/8,50,0.077,75,0.115,66,0.102,39,0.060,12.6,0.495,125,0.192
16,1/2,80,0.125,121,0.187,107,0.165,62,0.097,16.0,0.630,201,0.312
21,3/4,139,0.214,208,0.321,184,0.283,107,0.166,21.0,0.825,346,0.535
27,1,221,0.342,331,0.513,292,0.453,171,0.265,26.5,1.043,552,0.854
35,1 1/4,387,0.601,581,0.901,513,0.796,300,0.466,35.1,1.383,968,1.502
41,1 1/2,520,0.807,781,1.211,690,1.070,403,0.626,40.7,1.603,1301,2.018
53,2,863,1.337,1294,2.006,1143,1.772,669,1.036,52.4,2.063,2157,3.343
