# title: Table 4 Article 356 — Liquidtight Flexible Nonmetallic Conduit (LFNC-B*)
# edition: 2026
# header_rows: 4
# note: *Corresponds to Article 100,Conduit, Liquidtight Flexible Nonmetallic (LFNC)list item (2).
,Article 356 — Liquidtight Flexible Nonmetallic Conduit (LFNC-B*),,,,,,,,,,,,
Metric Designator,Trade Size,Over 2 Wires 40%,,60%,,1 Wire 53%,,2 Wires 31%,,Nominal Internal Diameter,,Total Area 100%,
,,mm²,in.²,mm²,in.²,mm²,in.²,mm²,in.²,mm,in.,mm²,in.²
metric_designator,trade_size,over_2_wires_40_area_mm2,over_2_wires_40_area_in2,area_60_mm2,area_60_in2,one_wire_53_area_mm2,one_wire_53_area_in2,two_wires_31_area_mm2,two_wires_31_area_in2,nominal_internal_diameter_mm,nominal_internal_diameter_in,total_area_100_mm2,total_area_100_in2
12,3/8,49,0.077,74,0.115,65,0.102,38,0.059,12.5,0.494,123,0.192
16,1/2,81,0.125,122,0.188,108,0.166,63,0.097,16.1,0.632,204,0.314
21,3/4,140,0.216,210,0.325,185,0.287,108,0.168,21.1,0.830,350,0.541
27,1,226,0.349,338,0.524,299,0.462,175,0.270,26.8,1.054,564,0.873
35,1 1/4,394,0.611,591,0.917,522,0.810,305,0.474,35.4,1.395,984,1.528
41,1 1/2,510,0.792,765,1.188,676,1.050,395,0.614,40.3,1.588,1276,1.981
53,2,836,1.298,1255,1.948,1108,1.720,648,1.006,51.6,2.033,2091,3.246
