# title: Table 4 Articles 352 and 353 — Rigid PVC Conduit (PVC), Schedule 40, and HDPE Conduit (HDPE)
# edition: 2026
# header_rows: 4
,"Articles 352 and 353 — Rigid PVC Conduit (PVC), Schedule 40, and HDPE Conduit (HDPE)",,,,,,,,,,,,
Metric Designator,Trade Size,Over 2 Wires 40%,,60%,,1 Wire 53%,,2 Wires 31%,,Nominal Internal Diameter,,Total Area 100%,
,,mm²,in.²,mm²,in.²,mm²,in.²,mm²,in.²,mm,in.,mm²,in.²
metric_designator,trade_size,over_2_wires_40_area_mm2,over_2_wires_40_area_in2,area_60_mm2,area_60_in2,one_wire_53_area_mm2,one_wire_53_area_in2,two_wires_31_area_mm2,two_wires_31_area_in2,nominal_internal_diameter_mm,nominal_internal_diameter_in,total_area_100_mm2,total_area_100_in2
12,3/8,,,,,,,,,,,,
16,1/2,74,0.114,110,0.171,97,0.151,57,0.088,15.3,0.602,184,0.285
21,3/4,131,0.203,196,0.305,173,0.269,101,0.157,20.4,0.804,327,0.508
27,1,214,0.333,321,0.499,284,0.441,166,0.258,26.1,1.029,535,0.832
35,1 1/4,374,0.581,561,0.872,495,0.770,290,0.450,34.5,1.360,935,1.453
41,1 1/2,513,0.794,769,1.191,679,1.052,397,0.616,40.4,1.590,1282,1.986
53,2,849,1.316,1274,1.975,1126,1.744,658,1.020,52.0,2.047,2124,3.291
63,2 1/2,1212,1.878,1817,2.817,1605,2.488,939,1.455,62.1,2.445,3029,4.695
78,3,1877,2.907,2816,4.361,2487,3.852,1455,2.253,77.3,3.042,4693,7.268
91,3 1/2,2511,3.895,3766,5.842,3327,5.161,1946,3.018,89.4,3.521,6277,9.737
103,4,3237,5.022,4855,7.532,4288,6.654,2508,3.892,101.5,3.998,8091,12.554
129,5,5099,7.904,7649,11.856,6756,10.473,3952,6.126,127.4,5.016,12748,19.761
155,6,7373,11.427,11060,17.140,9770,15.141,5714,8.856,153.2,6.031,18433,28.567
