# title: Table 4 Article 352 — Rigid PVC Conduit (PVC), Schedule 80
# edition: 2026
# header_rows: 4
,"Article 352 — Rigid PVC Conduit (PVC), Schedule 80",,,,,,,,,,,,
Metric Designator,Trade Size,Over 2 Wires 40%,,60%,,1 Wire 53%,,2 Wires 31%,,Nominal Internal Diameter,,Total Area 100%,
,,mm²,in.²,mm²,in.²,mm²,in.²,mm²,in.²,mm,in.,mm²,in.²
metric_designator,trade_size,over_2_wires_40_area_mm2,over_2_wires_40_area_in2,area_60_mm2,area_60_in2,one_wire_53_area_mm2,one_wire_53_area_in2,two_wires_31_area_mm2,two_wires_31_area_in2,nominal_internal_diameter_mm,nominal_internal_diameter_in,total_area_100_mm2,total_area_100_in2
12,3/8,,,,,,,,,,,,
16,1/2,56,0.087,85,0.130,75,0.115,44,0.067,13.4,0.526,141,0.217
21,3/4,105,0.164,158,0.246,139,0.217,82,0.127,18.3,0.722,263,0.409
27,1,178,0.275,267,0.413,236,0.365,138,0.213,23.8,0.936,445,0.688
35,1 1/4,320,0.495,480,0.742,424,0.656,248,0.383,31.9,1.255,799,1.237
41,1 1/2,442,0.684,663,1.027,585,0.907,342,0.530,37.5,1.476,1104,1.711
53,2,742,1.150,1113,1.725,983,1.523,575,0.891,48.6,1.913,1855,2.874
63,2 1/2,1064,1.647,1596,2.471,1410,2.183,825,1.277,58.2,2.290,2660,4.119
78,3,1660,2.577,2491,3.865,2200,3.414,1287,1.997,72.7,2.864,4151,6.442
91,3 1/2,2243,3.475,3365,5.213,2972,4.605,1738,2.693,84.5,3.326,5608,8.688
103,4,2907,4.503,4361,6.755,3852,5.967,2253,3.490,96.2,3.786,7268,11.258
129,5,4607,7.142,6911,10.713,6105,9.463,3571,5.535,121.1,4.768,11518,17.855
155,6,6605,10.239,9908,15.359,8752,13.567,5119,7.935,145.0,5.709,16513,25.598
