# title: Table 2 Radius of Conduit and Tubing Bends
# edition: 2026
# header_rows: 3
Conduit or Tubing Size,,One Shot and Full Shoe Benders,,Other Bends,
Metric Designator,Trade Size,mm,in.,mm,in.
metric_designator,trade_size,one_shot_and_full_shoe_benders_mm,one_shot_and_full_shoe_benders_in,other_bends_mm,other_bends_in
16,1/2,101.6,4,101.6,4
21,3/4,114.3,4 1/2,127,5
27,1,146.05,5 3/4,152.4,6
35,1 1/4,184.15,7 1/4,203.2,8
41,1 1/2,209.55,8 1/4,254,10
53,2,241.3,9 1/2,304.8,12
63,2 1/2,266.7,10 1/2,381,15
78,3,330.2,13,457.2,18
91,3 1/2,381,15,533.4,21
103,4,406.4,16,609.6,24
129,5,609.6,24,762,30
155,6,762,30,914.4,36
