# title: Table 250.122 Minimum Size Equipment Grounding Conductors (EGCs)for
#   Grounding Raceway and Equipment
# edition: 2026
# header_rows: 3
# note: Note: Where necessary to comply with 250.4(A)(5) or 250.4(B)(4), the EGC shall be sized larger than given in this table.
# note: *See installation restrictions in 250.120.
"Rating or Setting of Automatic Overcurrent Protective Device (OCPD) in Circuit Ahead of Equipment, Conduit, Not Exceeding (Amperes)",Size (AWG or kcmil),
,Copper,Aluminum or Copper-Clad Aluminum*
rating_or_setting_of_ocpd_amperes,copper_awg_kcmil,aluminum_or_copper_clad_aluminum_awg_kcmil
15,14,12
20,12,10
60,10,8
100,8,6
200,6,4
300,4,2
400,3,1
500,2,1/0
600,1,2/0
800,1/0,3/0
1000,2/0,4/0
1200,3/0,250
1600,4/0,350
2000,250,400
2500,350,600
3000,400,600
4000,500,750
5000,700,1250
6000,800,1250
