# title: Table 310.12(A) Single-Phase Dwelling Services and Feeders
# edition: 2026
# header_rows: 3
# note: Note: If no adjustment or correction factors are required, this table shall be permitted to be applied.
,Conductor (AWG or kcmil),
Service or Feeder Rating (Amperes),Copper,Aluminum or Copper-Clad Aluminum
service_or_feeder_rating_amperes,copper_awg_kcmil,aluminum_or_copper_clad_aluminum_awg_kcmil
100,4,2
110,3,1
125,2,1/0
150,1,2/0
175,1/0,3/0
200,2/0,4/0
225,3/0,250
250,4/0,300
300,250,350
350,350,500
400,400,600
