# title: Table 310.15(B)(1)(2) Ambient Temperature Correction Factors Based on
#   40ºC (104ºF)
# edition: 2026
# header_rows: 4
# note: Note: Table 310.15(B)(1)(2) shall be used with Table 310.18, Table 310.19, Table 310.20, and Table 310.21 as required.
"For ambient temperatures other than 40°C (104°F), multiply the ampacities specified in the ampacity tables by the appropriate correction factor shown below.",,,,,,,
Ambient Temperature (°C),Temperature Rating of Conductor,,,,,,Ambient Temperature (ºF)
,60°C,75°C,90°C,150°C,200°C,250°C,
ambient_temp_c,temp_rating_60c,temp_rating_75c,temp_rating_90c,temp_rating_150c,temp_rating_200c,temp_rating_250c,ambient_temp_f
10 or less,1.58,1.36,1.26,1.13,1.09,1.07,50 or less
11-15,1.50,1.31,1.22,1.11,1.08,1.06,51-59
16-20,1.41,1.25,1.18,1.09,1.06,1.05,60-68
21-25,1.32,1.2,1.14,1.07,1.05,1.04,69-77
26-30,1.22,1.13,1.10,1.04,1.03,1.02,78-86
31-35,1.12,1.07,1.05,1.02,1.02,1.01,87-95
36-40,1.00,1.00,1.00,1.00,1.00,1.00,96-104
41-45,0.87,0.93,0.95,0.98,0.98,0.99,105-113
46-50,0.71,0.85,0.89,0.95,0.97,0.98,114-122
51-55,0.50,0.76,0.84,0.93,0.95,0.96,123-131
56-60,,0.65,0.77,0.90,0.94,0.95,132-140
61-65,,0.53,0.71,0.88,0.92,0.94,141-149
66-70,,0.38,0.63,0.85,0.90,0.93,150-158
71-75,,,0.55,0.83,0.88,0.91,159-167
76-80,,,0.45,0.80,0.87,0.90,168-176
81-90,,,,0.74,0.83,0.87,177-194
91-100,,,,0.67,0.79,0.85,195-212
101-110,,,,0.60,0.75,0.82,213-230
111-120,,,,0.52,0.71,0.79,231-248
121-130,,,,0.43,0.66,0.76,249-266
131-140,,,,0.30,0.61,0.72,267-284
141-160,,,,,0.50,0.65,285-320
161-180,,,,,0.35,0.58,321-356
181-200,,,,,,0.49,357-392
201-225,,,,,,0.35,393-437
