# title: Table 310.17 Ampacities of Single-Insulated Conductors in Free Air
# edition: 2026
# header_rows: 5
# note: Notes:
# note: 1. Section 310.15(B) shall be referenced for ampacity correction factors where the ambient temperature is other than 30°C (86°F).
# note: 2. Section 310.17 shall be referenced for conditions of use.
# note: *Section 240.4(D) shall be referenced for conductor overcurrent protection limitations, except as modified elsewhere in the code.
Size AWG or kcmil,Temperature Rating of Conductor [See Table 310.4(1)],,,,,,Size AWG or kcmil
,60°C (140°F),75°C (167°F),90°C (194°F),60°C (140°F),75°C (167°F),90°C (194°F),
,"Types TW, UF","Types RHW, THHW, THW, THWN, XHHW, XHWN, ZW","Types TBS, SA, SIS, FEP, FEPB, MI, PFA, RHH, RHW-2, THHN, THHW, THW-2, THWN-2, USE-2, XHH, XHHW, XHHW-2, XHWN-2, XHHN, Z, ZW-2","Types TW, UF","Types RHW, THHW, THW, THWN, XHHW, XHWN","Types TBS, SA, SIS, THHN, THHW, THW-2, THWN-2, RHH, RHW-2, USE-2, XHH, XHHW, XHHW-2, XHWN-2, XHHN",
,COPPER,,,ALUMINUM OR COPPER-CLAD ALUMINUM,,,
size_awg_kcmil,copper_60c_ampacity,copper_75c_ampacity,copper_90c_ampacity,aluminum_or_copper_clad_aluminum_60c_ampacity,aluminum_or_copper_clad_aluminum_75c_ampacity,aluminum_or_copper_clad_aluminum_90c_ampacity,size_awg_kcmil_repeat
18,,,18,,,,
16,,,24,,,,
14*,25,30,35,,,,
12*,30,35,40,25,30,35,12*
10*,40,50,55,35,40,45,10*
8,60,70,80,45,55,60,8
6,80,95,105,60,75,85,6
4,105,125,140,80,100,115,4
3,120,145,165,95,115,130,3
2,140,170,190,110,135,150,2
1,165,195,220,130,155,175,1
1/0,195,230,260,150,180,205,1/0
2/0,225,265,300,175,210,235,2/0
3/0,260,310,350,200,240,270,3/0
4/0,300,360,405,235,280,315,4/0
250,340,405,455,265,315,355,250
300,375,445,500,290,350,395,300
350,420,505,570,330,395,445,350
400,455,545,615,355,425,480,400
500,515,620,700,405,485,545,500
600,575,690,780,455,545,615,600
700,630,755,850,500,595,670,700
750,655,785,885,515,620,700,750
800,680,815,920,535,645,725,800
900,730,870,980,580,700,790,900
1000,780,935,1055,625,750,845,1000
1250,890,1065,1200,710,855,965,1250
1500,980,1175,1325,795,950,1070,1500
1750,1070,1280,1445,875,1050,1185,1750
2000,1155,1385,1560,960,1150,1295,2000
