# title: Table 310.4(1) Conductor Applications and Insulations Rated 600 Volts
# edition: 2026
# header_rows: 1
# note: Note: Conductors in Table 310.4(1) shall be permitted to be rated up to 1000 volts if listed and marked.
# note: ¹Outer coverings shall not be required where listed without a covering.
# note: ²Higher temperature rated constructions shall be permitted where design conditions require maximum conductor operating temperatures above 90°C (194°F).
# note: ³Conductor sizes shall be permitted for signaling circuits permitting 300-volt insulation.
# note: ⁴The ampacity of Type UF cable shall be limited in accordance with 340.80.
# note: ⁵Type UF insulation thickness shall include the integral jacket.
# note: ⁶Insulation thickness shall be permitted to be 2.03 mm (80 mils) for listed Type USE conductors that have been subjected to special investigations. The nonmetallic covering over individual rubber-covered conductors of aluminum-sheathed cable and of lead-sheathed or multiconductor cable shall not be required to be flame retardant.
trade_name,type_letter,max_operating_temp,application_provisions,insulation,size_awg_kcmil,thickness_mm,thickness_column_b_mm,thickness_mils,thickness_column_b_mils,outer_covering
Fluorinated ethylene propylene,FEP or FEPB,90°C (194°F),Dry and damp locations,Fluorinated ethylene propylene,16-10,0.51,,20,,None
Fluorinated ethylene propylene,FEP or FEPB,90°C (194°F),Dry and damp locations,Fluorinated ethylene propylene,8-2,0.76,,30,,
Fluorinated ethylene propylene,FEP or FEPB,200°C (392°F),Dry locations - special applications,Fluorinated ethylene propylene,16-8,0.36,,14,,Glass braid
Fluorinated ethylene propylene,FEP or FEPB,200°C (392°F),Dry locations - special applications,Fluorinated ethylene propylene,6-2,0.36,,14,,Glass or other suitable braid material
Mineral insulation (metal sheathed),MI,90°C (194°F),Dry and wet locations,Magnesium oxide,18-16,0.58,,23,,Copper or alloy steel
Mineral insulation (metal sheathed),MI,90°C (194°F),Dry and wet locations,Magnesium oxide,16-10,0.91,,36,,Copper or alloy steel
Mineral insulation (metal sheathed),MI,250°C (482°F),For special applications,Magnesium oxide,9-4,1.27,,50,,Copper or alloy steel
Mineral insulation (metal sheathed),MI,250°C (482°F),For special applications,Magnesium oxide,3-500,1.40,,55,,Copper or alloy steel
"Moisture-, heat-, and oil-resistant thermoplastic",MTW,60°C (140°F),Machine tool wiring in wet locations,"Flame-retardant, moisture-, heat-, and oil-resistant thermoplastic",,(A),(B),(A),(B),(A) None
"Moisture-, heat-, and oil-resistant thermoplastic",MTW,60°C (140°F),Machine tool wiring in wet locations,"Flame-retardant, moisture-, heat-, and oil-resistant thermoplastic",,(A),(B),(A),(B),(B) Nylon jacket or equivalent
