# title: Table 430.250 Full-Load Current, Three-Phase ac Motors
# edition: 2026
# header_rows: 3
# note: *For 90 and 80 percent power factor, the figures shall be multiplied by 1.1 and 1.25, respectively.
Horsepower,Induction-Type Squirrel Cage and Wound Rotor (Amperes),,,,,,,Synchronous-Type Unity Power Factor* (Amperes),,,
,115 Volts,200 Volts,208 Volts,230 Volts,460 Volts,575 Volts,2300 Volts,230 Volts,460 Volts,575 Volts,2300 Volts
horsepower,induction_115v,induction_200v,induction_208v,induction_230v,induction_460v,induction_575v,induction_2300v,synchronous_unity_pf_230v,synchronous_unity_pf_460v,synchronous_unity_pf_575v,synchronous_unity_pf_2300v
1/2,4.4,2.5,2.4,2.2,1.1,0.9,,,,,
3/4,6.4,3.7,3.5,3.2,1.6,1.3,,,,,
1,8.4,4.8,4.6,4.2,2.1,1.7,,,,,
1 1/2,12.0,6.9,6.6,6.0,3.0,2.4,,,,,
2,13.6,7.8,7.5,6.8,3.4,2.7,,,,,
3,,11.0,10.6,9.6,4.8,3.9,,,,,
5,,17.5,16.7,15.2,7.6,6.1,,,,,
7 1/2,,25.3,24.2,22,11,9,,,,,
10,,32.2,30.8,28,14,11,,,,,
15,,48.3,46.2,42,21,17,,,,,
20,,62.1,59.4,54,27,22,,,,,
25,,78.2,74.8,68,34,27,,53,26,21,
30,,92,88,80,40,32,,63,32,26,
40,,120,114,104,52,41,,83,41,33,
50,,150,143,130,65,52,,104,52,42,
60,,177,169,154,77,62,16,123,61,49,12
75,,221,211,192,96,77,20,155,78,62,15
100,,285,273,248,124,99,26,202,101,81,20
125,,359,343,312,156,125,31,253,126,101,25
150,,414,396,360,180,144,37,302,151,121,30
200,,552,528,480,240,192,49,400,201,161,40
250,,,,,302,242,60,,,,
300,,,,,361,289,72,,,,
350,,,,,414,336,83,,,,
400,,,,,477,382,95,,,,
450,,,,,515,412,103,,,,
500,,,,,590,472,118,,,,
