# title: Table 4 Dimensions and Percent Area of Conduit and Tubing (Areas of
#   Conduit or Tubing for the Combinations of Wires Permitted in Table 1,
#   Chapter 9)
# edition: 2026
# header_rows: 4
Article 358 — Electrical Metallic Tubing (EMT),,,,,,,,,,,,,
Metric Designator,Trade Size,Over 2 Wires 40%,,60%,,1 Wire 53%,,2 Wires 31%,,Nominal Internal Diameter,,Total Area 100%,
,,mm²,in.²,mm²,in.²,mm²,in.²,mm²,in.²,mm,in.,mm²,in.²
metric_designator,trade_size,over_2_wires_40_area_mm2,over_2_wires_40_area_in2,area_60_mm2,area_60_in2,one_wire_53_area_mm2,one_wire_53_area_in2,two_wires_31_area_mm2,two_wires_31_area_in2,nominal_internal_diameter_mm,nominal_internal_diameter_in,total_area_100_mm2,total_area_100_in2
16,1/2,78,0.122,118,0.182,104,0.161,61,0.094,15.8,0.622,196,0.304
21,3/4,137,0.213,206,0.320,182,0.283,106,0.165,20.9,0.824,343,0.533
27,1,222,0.346,333,0.519,295,0.458,172,0.268,26.6,1.049,556,0.864
35,1 1/4,387,0.598,581,0.897,513,0.793,300,0.464,35.1,1.380,968,1.496
41,1 1/2,526,0.814,788,1.221,696,1.079,407,0.631,40.9,1.610,1314,2.036
53,2,866,1.342,1299,2.013,1147,1.778,671,1.040,52.5,2.067,2165,3.356
63,2 1/2,1513,2.343,2270,3.515,2005,3.105,1173,1.816,69.4,2.731,3783,5.858
78,3,2280,3.538,3421,5.307,3022,4.688,1767,2.742,85.2,3.356,5701,8.846
91,3 1/2,2980,4.618,4471,6.927,3949,6.119,2310,3.579,97.4,3.834,7451,11.545
103,4,3808,5.901,5712,8.852,5046,7.819,2951,4.573,110.1,4.334,9521,14.753
129,5,5220,8.085,7830,12.127,6916,10.713,4045,6.266,128.9,5.073,13050,20.212
155,6,7528,11.663,11292,17.495,9975,15.454,5834,9.039,154.8,6.093,18821,29.158
