# title: Table 4 Article 348 — Flexible Metal Conduit (FMC)
# edition: 2026
# header_rows: 4
,Article 348 — Flexible Metal Conduit (FMC),,,,,,,,,,,,
Metric Designator,Trade Size,Over 2 Wires 40%,,60%,,1 Wire 53%,,2 Wires 31%,,Nominal Internal Diameter,,Total Area 100%,
,,mm²,in.²,mm²,in.²,mm²,in.²,mm²,in.²,mm,in.,mm²,in.²
metric_designator,trade_size,over_2_wires_40_area_mm2,over_2_wires_40_area_in2,area_60_mm2,area_60_in2,one_wire_53_area_mm2,one_wire_53_area_in2,two_wires_31_area_mm2,two_wires_31_area_in2,nominal_internal_diameter_mm,nominal_internal_diameter_in,total_area_100_mm2,total_area_100_in2
12,3/8,30,0.046,44,0.069,39,0.061,23,0.036,9.7,0.384,74,0.116
16,1/2,81,0.127,122,0.190,108,0.168,63,0.098,16.1,0.635,204,0.317
21,3/4,137,0.213,206,0.320,182,0.283,106,0.165,20.9,0.824,343,0.533
27,1,211,0.327,316,0.490,279,0.433,163,0.253,25.9,1.020,527,0.817
35,1 1/4,330,0.511,495,0.766,437,0.677,256,0.396,32.4,1.275,824,1.277
41,1 1/2,480,0.743,720,1.115,636,0.985,372,0.576,39.1,1.538,1201,1.858
53,2,843,1.307,1264,1.961,1117,1.732,653,1.013,51.8,2.040,2107,3.269
63,2 1/2,1267,1.963,1900,2.945,1678,2.602,982,1.522,63.5,2.500,3167,4.909
78,3,1824,2.827,2736,4.241,2417,3.746,1414,2.191,76.2,3.000,4560,7.069
91,3 1/2,2483,3.848,3724,5.773,3290,5.099,1924,2.983,88.9,3.500,6207,9.621
103,4,3243,5.027,4864,7.540,4297,6.660,2513,3.896,101.6,4.000,8107,12.566
