# title: Table 4 Article 356 — Liquidtight Flexible Nonmetallic Conduit (LFNC-C*)
# edition: 2026
# header_rows: 4
# note: *Corresponds to Article 100,Conduit, Liquidtight Flexible Nonmetallic (LFNC)list item (3).
Article 356 — Liquidtight Flexible Nonmetallic Conduit (LFNC-C*),,,,,,,,,,,,,
Metric Designator,Trade Size,Over 2 Wires 40%,,60%,,1 Wire 53%,,2 Wires 31%,,Nominal Internal Diameter,,Total Area 100%,
,,mm²,in.²,mm²,in.²,mm²,in.²,mm²,in.²,mm,in.,mm²,in.²
metric_designator,trade_size,over_2_wires_40_area_mm2,over_2_wires_40_area_in2,area_60_mm2,area_60_in2,one_wire_53_area_mm2,one_wire_53_area_in2,two_wires_31_area_mm2,two_wires_31_area_in2,nominal_internal_diameter_mm,nominal_internal_diameter_in,total_area_100_mm2,total_area_100_in2
12,3/8,47.7,0.074,71.5,0.111,63.2,0.098,36.9,0.057,12.3,0.485,119.19,0.185
16,1/2,77.9,0.121,116.9,0.181,103.2,0.160,60.4,0.094,15.7,0.620,194.778,0.302
21,3/4,134.6,0.209,201.9,0.313,178.4,0.276,104.3,0.162,20.7,0.815,336.568,0.522
27,1,215.0,0.333,322.5,0.500,284.9,0.442,166.6,0.258,26.2,1.030,537.566,0.833
35,1 1/4,380.4,0.590,570.6,0.884,504.1,0.781,294.8,0.457,34.8,1.370,951.039,1.474
41,1 1/2,509.2,0.789,763.8,1.184,674.7,1.046,394.6,0.612,40.3,1.585,1272.963,1.973
53,2,847.6,1.314,1271.4,1.971,1123.1,1.741,656.9,1.018,51.9,2.045,2119.063,3.285
