# title: Table 4 Article 352 — Type A, Rigid PVC Conduit (PVC)
# edition: 2026
# header_rows: 4
,"Article 352 — Type A, Rigid PVC Conduit (PVC)",,,,,,,,,,,,
Metric Designator,Trade Size,Over 2 Wires 40%,,60%,,1 Wire 53%,,2 Wires 31%,,Nominal Internal Diameter,,Total Area 100%,
,,mm²,in.²,mm²,in.²,mm²,in.²,mm²,in.²,mm,in.,mm²,in.²
metric_designator,trade_size,over_2_wires_40_area_mm2,over_2_wires_40_area_in2,area_60_mm2,area_60_in2,one_wire_53_area_mm2,one_wire_53_area_in2,two_wires_31_area_mm2,two_wires_31_area_in2,nominal_internal_diameter_mm,nominal_internal_diameter_in,total_area_100_mm2,total_area_100_in2
16,1/2,100,0.154,149,0.231,132,0.204,77,0.119,17.8,0.700,249,0.385
21,3/4,168,0.260,251,0.390,222,0.345,130,0.202,23.1,0.910,419,0.650
27,1,279,0.434,418,0.651,370,0.575,216,0.336,29.8,1.175,697,1.084
35,1 1/4,456,0.707,684,1.060,604,0.937,353,0.548,38.1,1.500,1140,1.767
41,1 1/2,600,0.929,900,1.394,795,1.231,465,0.720,43.7,1.720,1500,2.324
53,2,940,1.459,1410,2.188,1245,1.933,728,1.131,54.7,2.155,2350,3.647
63,2 1/2,1406,2.181,2109,3.272,1863,2.890,1090,1.690,66.9,2.635,3515,5.453
78,3,2112,3.278,3169,4.916,2799,4.343,1637,2.540,82.0,3.230,5281,8.194
91,3 1/2,2758,4.278,4137,6.416,3655,5.668,2138,3.315,93.7,3.690,6896,10.694
103,4,3543,5.489,5315,8.234,4695,7.273,2746,4.254,106.2,4.180,8858,13.723
129,5,,,,,,,,,,,,
155,6,,,,,,,,,,,,
