# title: Table 4 Article 344 — Rigid Metal Conduit (RMC)
# edition: 2026
# header_rows: 4
,Article 344 — Rigid Metal Conduit (RMC),,,,,,,,,,,,
Metric Designator,Trade Size,Over 2 Wires 40%,,60%,,1 Wire 53%,,2 Wires 31%,,Nominal Internal Diameter,,Total Area 100%,
,,mm²,in.²,mm²,in.²,mm²,in.²,mm²,in.²,mm,in.,mm²,in.²
metric_designator,trade_size,over_2_wires_40_area_mm2,over_2_wires_40_area_in2,area_60_mm2,area_60_in2,one_wire_53_area_mm2,one_wire_53_area_in2,two_wires_31_area_mm2,two_wires_31_area_in2,nominal_internal_diameter_mm,nominal_internal_diameter_in,total_area_100_mm2,total_area_100_in2
12,3/8,,,,,,,,,,,,
16,1/2,81,0.125,122,0.188,108,0.166,63,0.097,16.1,0.632,204,0.314
21,3/4,141,0.220,212,0.329,187,0.291,109,0.170,21.2,0.836,353,0.549
27,1,229,0.355,344,0.532,303,0.470,177,0.275,27.0,1.063,573,0.887
35,1 1/4,394,0.610,591,0.916,522,0.809,305,0.473,35.4,1.394,984,1.526
41,1 1/2,533,0.829,800,1.243,707,1.098,413,0.642,41.2,1.624,1333,2.071
53,2,879,1.363,1319,2.045,1165,1.806,681,1.056,52.9,2.083,2198,3.408
63,2 1/2,1255,1.946,1882,2.919,1663,2.579,972,1.508,63.2,2.489,3137,4.866
78,3,1936,3.000,2904,4.499,2565,3.974,1500,2.325,78.5,3.090,4840,7.499
91,3 1/2,2584,4.004,3877,6.006,3424,5.305,2003,3.103,90.7,3.570,6461,10.010
103,4,3326,5.153,4990,7.729,4408,6.828,2578,3.994,102.9,4.050,8316,12.882
129,5,5220,8.085,7830,12.127,6916,10.713,4045,6.266,128.9,5.073,13050,20.212
155,6,7528,11.663,11292,17.495,9975,15.454,5834,9.039,154.8,6.093,18821,29.158
