# title: Table 5 Dimensions of Insulated Conductors and Fixture Wires
# edition: 2026
# header_rows: 1
# note: *Types RHH, RHW, and RHW-2 without outer covering.
# note: Type: FFH-2, RFH-1, RFH-2, RFHH-2, RHH*, RHW*, RHW-2*, RHH, RHW, RHW-2, SF-1, SF-2, SFF-1, SFF-2, TF, TFF, THHW, THW, THW-2, TW, XF, XFF
# note: Type: RHH*, RHW*, RHW-2*, THHN, THHW, THW, THW-2, TFN, TFFN, THWN, THWN-2, XF, XFF
# note: Type: FEP, FEPB, PAF, PAFF, PF, PFA, PFAH, PFF, PGF, PGFF, PTF, PTFF, TFE, THHN, THWN, THWN-2, Z, ZF, ZFF, ZHF
# note: Type: KF-1, KF-2, KFF-1, KFF-2, XHH, XHHW, XHHW-2, ZW
type,size_awg_kcmil,approximate_area_mm2,approximate_area_in2,approximate_diameter_mm,approximate_diameter_in
"RFH-2, FFH-2, RFHH-2",18,9.355,0.0145,3.454,0.136
"RFH-2, FFH-2, RFHH-2",16,11.10,0.0172,3.759,0.148
"RHH, RHW, RHW-2",14,18.90,0.0293,4.902,0.193
"RHH, RHW, RHW-2",12,22.77,0.0353,5.385,0.212
"RHH, RHW, RHW-2",10,28.19,0.0437,5.994,0.236
"RHH, RHW, RHW-2",8,53.87,0.0835,8.280,0.326
"RHH, RHW, RHW-2",6,67.16,0.1041,9.246,0.364
"RHH, RHW, RHW-2",4,86.00,0.1333,10.46,0.412
"RHH, RHW, RHW-2",3,98.13,0.1521,11.18,0.440
"RHH, RHW, RHW-2",2,112.9,0.1750,11.99,0.472
"RHH, RHW, RHW-2",1,171.6,0.2660,14.78,0.582
"RHH, RHW, RHW-2",1/0,196.1,0.3039,15.80,0.622
"RHH, RHW, RHW-2",2/0,226.1,0.3505,16.97,0.668
"RHH, RHW, RHW-2",3/0,262.7,0.4072,18.29,0.720
"RHH, RHW, RHW-2",4/0,306.7,0.4754,19.76,0.778
"RHH, RHW, RHW-2",250,405.9,0.6291,22.73,0.895
"RHH, RHW, RHW-2",300,457.3,0.7088,24.13,0.950
"RHH, RHW, RHW-2",350,507.7,0.7870,25.43,1.001
"RHH, RHW, RHW-2",400,556.5,0.8626,26.62,1.048
"RHH, RHW, RHW-2",500,650.5,1.0082,28.78,1.133
"RHH, RHW, RHW-2",600,782.9,1.2135,31.57,1.243
"RHH, RHW, RHW-2",700,874.9,1.3561,33.38,1.314
"RHH, RHW, RHW-2",750,920.8,1.4272,34.24,1.348
"RHH, RHW, RHW-2",800,965.0,1.4957,35.05,1.380
"RHH, RHW, RHW-2",900,1057,1.6377,36.68,1.444
"RHH, RHW, RHW-2",1000,1143,1.7719,38.15,1.502
"RHH, RHW, RHW-2",1250,1515,2.3479,43.92,1.729
"RHH, RHW, RHW-2",1500,1738,2.6938,47.04,1.852
"RHH, RHW, RHW-2",1750,1959,3.0357,49.94,1.966
"RHH, RHW, RHW-2",2000,2175,3.3719,52.63,2.072
"SF-2, SFF-2",18,7.419,0.0115,3.073,0.121
"SF-2, SFF-2",16,8.968,0.0139,3.378,0.133
"SF-2, SFF-2",14,11.10,0.0172,3.759,0.148
"SF-1, SFF-1",18,4.194,0.0065,2.311,0.091
"RFH-1, TF, TFF, XF, XFF",18,5.161,0.0088,2.692,0.106
"TF, TFF, XF, XFF",16,7.032,0.0109,2.997,0.118
"TW, XF, XFF, THHW, THW, THW-2",14,8.968,0.0139,3.378,0.133
"TW, THHW, THW, THW-2",12,11.68,0.0181,3.861,0.152
"TW, THHW, THW, THW-2",10,15.68,0.0243,4.470,0.176
"TW, THHW, THW, THW-2",8,28.19,0.0437,5.994,0.236
"RHH*, RHW*, RHW-2*",14,13.48,0.0209,4.140,0.163
"RHH*, RHW*, RHW-2*, XF, XFF",12,16.77,0.0260,4.623,0.182
"RHH,* RHW,* RHW-2,* XF, XFF",10,21.48,0.0333,5.232,0.206
"RHH*, RHW*, RHW-2*",8,35.87,0.0556,6.756,0.266
"TW, THW, THHW, THW-2, RHH*, RHW*, RHW-2*",6,46.84,0.0726,7.722,0.304
