# title: Table 5A Compact Copper and Aluminum Building Wire Nominal Dimensions**
#   and Areas
# edition: 2026
# header_rows: 4
# note: *Types RHH and RHW without outer coverings.
# note: **Dimensions are from industry sources.
,Bare Conductor,,Type RHH*,,,,Types THW and THHW,,,,Type THHN,,,,Type XHHW,,,,
Size (AWG or kcmil),Diameter,,Approximate Diameter,,Approximate Area,,Approximate Diameter,,Approximate Area,,Approximate Diameter,,Approximate Area,,Approximate Diameter,,Approximate Area,,Size (AWG or kcmil)
,mm,in.,mm,in.,mm²,in.²,mm,in.,mm²,in.²,mm,in.,mm²,in.²,mm,in.,mm²,in.²,
size_awg_kcmil,bare_conductor_diameter_mm,bare_conductor_diameter_in,rhh_approximate_diameter_mm,rhh_approximate_diameter_in,rhh_approximate_area_mm2,rhh_approximate_area_in2,thw_thhw_approximate_diameter_mm,thw_thhw_approximate_diameter_in,thw_thhw_approximate_area_mm2,thw_thhw_approximate_area_in2,thhn_approximate_diameter_mm,thhn_approximate_diameter_in,thhn_approximate_area_mm2,thhn_approximate_area_in2,xhhw_approximate_diameter_mm,xhhw_approximate_diameter_in,xhhw_approximate_area_mm2,xhhw_approximate_area_in2,size_awg_kcmil_repeat
8,3.404,0.134,6.604,0.260,34.25,0.0531,6.477,0.255,32.90,0.0510,—,—,—,—,5.690,0.224,25.42,0.0394,8
6,4.293,0.169,7.493,0.295,44.10,0.0683,7.366,0.290,42.58,0.0660,6.096,0.240,29.16,0.0452,6.604,0.260,34.19,0.0530,6
4,5.410,0.213,8.509,0.335,56.84,0.0881,8.509,0.335,56.84,0.0881,7.747,0.305,47.10,0.0730,7.747,0.305,47.10,0.0730,4
2,6.807,0.268,9.906,0.390,77.03,0.1194,9.906,0.390,77.03,0.1194,9.144,0.360,65.61,0.1017,9.144,0.360,65.61,0.1017,2
1,7.595,0.299,11.81,0.465,109.5,0.1698,11.81,0.465,109.5,0.1698,10.54,0.415,87.23,0.1352,10.54,0.415,87.23,0.1352,1
1/0,8.534,0.336,12.70,0.500,126.6,0.1963,12.70,0.500,126.6,0.1963,11.43,0.450,102.6,0.1590,11.43,0.450,102.6,0.1590,1/0
2/0,9.550,0.376,13.72,0.540,147.8,0.2290,13.84,0.545,150.5,0.2332,12.57,0.495,124.1,0.1924,12.45,0.490,121.6,0.1885,2/0
3/0,10.74,0.423,14.99,0.590,176.3,0.2733,14.99,0.590,176.3,0.2733,13.72,0.540,147.7,0.2290,13.72,0.540,147.7,0.2290,3/0
4/0,12.07,0.475,16.26,0.640,207.6,0.3217,16.38,0.645,210.8,0.3267,15.11,0.595,179.4,0.2780,14.99,0.590,176.3,0.2733,4/0
250,13.21,0.520,18.16,0.715,259.0,0.4015,18.42,0.725,266.3,0.4128,17.02,0.670,227.4,0.3525,16.76,0.660,220.7,0.3421,250
300,14.48,0.570,19.43,0.765,296.5,0.4596,19.69,0.775,304.3,0.4717,18.29,0.720,262.6,0.4071,18.16,0.715,259.0,0.4015,300
350,15.65,0.616,20.57,0.810,332.3,0.5153,20.83,0.820,340.7,0.5281,19.56,0.770,300.4,0.4656,19.30,0.760,292.6,0.4536,350
400,16.74,0.659,21.72,0.855,370.5,0.5741,21.97,0.865,379.1,0.5876,20.70,0.815,336.5,0.5216,20.32,0.800,324.3,0.5026,400
500,18.69,0.736,23.62,0.930,438.2,0.6793,23.88,0.940,447.7,0.6939,22.48,0.885,396.8,0.6151,22.35,0.880,392.4,0.6082,500
600,20.65,0.813,26.29,1.035,542.8,0.8413,26.67,1.050,558.6,0.8659,25.02,0.985,491.6,0.7620,24.89,0.980,486.6,0.7542,600
700,22.28,0.877,27.94,1.100,613.1,0.9503,28.19,1.110,624.3,0.9676,26.67,1.050,558.6,0.8659,26.67,1.050,558.6,0.8659,700
750,23.06,0.908,28.83,1.135,652.8,1.0118,29.21,1.150,670.1,1.0386,27.31,1.075,585.5,0.9076,27.69,1.090,602.0,0.9331,750
900,25.37,0.999,31.50,1.240,779.3,1.2076,31.09,1.224,759.1,1.1766,30.33,1.194,722.5,1.1196,29.69,1.169,692.3,1.0733,900
1000,26.92,1.060,32.64,1.285,836.6,1.2968,32.64,1.285,836.6,1.2968,31.88,1.255,798.1,1.2370,31.24,1.230,766.6,1.1882,1000
