# title: Table 9 Alternating-Current (ac)Resistance and Reactance for 600-Volt Cables, 3-Phase, 60 Hz, 75°C (167°F) — Three Single Conductors in Conduit
# edition: 2026
# header_rows: 1
# note: Notes:
# note: 1. These values are based on the following constants: UL-Type RHH wires with Class B stranding, in cradled configuration. Wire conductivities are 100 percent IACS copper and 61 percent IACS aluminum, and aluminum conduit is 45 percent IACS. Capacitive reactance is ignored, since it is negligible at these voltages. These resistance values are valid only at 75°C (167°F) and for the parameters as given, but are representative for 600-volt wire types operating at 60 Hz.
# note: 2. Effective Z is defined as R cos(θ) + X sin(θ), where θ is the power factor angle of the circuit. Multiplying current by effective impedance gives a good approximation for line-to-neutral voltage drop. Effective impedance values shown in this table are valid only at 0.85 power factor. For another circuit power factor (PF), effective impedance (Ze) can be calculated from R and XL values given in this table as follows: Ze = R × PF + XL sin[arccos(PF)].
size_awg_kcmil,xl_pvc_aluminum_conduits_ohm_km,xl_pvc_aluminum_conduits_ohm_kft,xl_steel_conduit_ohm_km,xl_steel_conduit_ohm_kft,cu_uncoated_ac_resistance_pvc_conduit_ohm_km,cu_uncoated_ac_resistance_pvc_conduit_ohm_kft,cu_uncoated_ac_resistance_aluminum_conduit_ohm_km,cu_uncoated_ac_resistance_aluminum_conduit_ohm_kft,cu_uncoated_ac_resistance_steel_conduit_ohm_km,cu_uncoated_ac_resistance_steel_conduit_ohm_kft,aluminum_ac_resistance_pvc_conduit_ohm_km,aluminum_ac_resistance_pvc_conduit_ohm_kft,aluminum_ac_resistance_aluminum_conduit_ohm_km,aluminum_ac_resistance_aluminum_conduit_ohm_kft,aluminum_ac_resistance_steel_conduit_ohm_km,aluminum_ac_resistance_steel_conduit_ohm_kft,cu_uncoated_eff_z_085pf_pvc_conduit_ohm_km,cu_uncoated_eff_z_085pf_pvc_conduit_ohm_kft,cu_uncoated_eff_z_085pf_aluminum_conduit_ohm_km,cu_uncoated_eff_z_085pf_aluminum_conduit_ohm_kft,cu_uncoated_eff_z_085pf_steel_conduit_ohm_km,cu_uncoated_eff_z_085pf_steel_conduit_ohm_kft,aluminum_eff_z_085pf_pvc_conduit_ohm_km,aluminum_eff_z_085pf_pvc_conduit_ohm_kft,aluminum_eff_z_085pf_aluminum_conduit_ohm_km,aluminum_eff_z_085pf_aluminum_conduit_ohm_kft,aluminum_eff_z_085pf_steel_conduit_ohm_km,aluminum_eff_z_085pf_steel_conduit_ohm_kft
14,0.190,0.058,0.240,0.073,10.2,3.1,10.2,3.1,10.2,3.1,,,,,,,8.9,2.7,8.9,2.7,8.9,2.7,,,,,,
12,0.177,0.054,0.223,0.068,6.6,2.0,6.6,2.0,6.6,2.0,10.5,3.2,10.5,3.2,10.5,3.2,5.6,1.7,5.6,1.7,5.6,1.7,9.2,2.8,9.2,2.8,9.2,2.8
10,0.164,0.050,0.207,0.063,3.9,1.2,3.9,1.2,3.9,1.2,6.6,2.0,6.6,2.0,6.6,2.0,3.6,1.1,3.6,1.1,3.6,1.1,5.9,1.8,5.9,1.8,5.9,1.8
8,0.171,0.052,0.213,0.065,2.56,0.78,2.56,0.78,2.56,0.78,4.3,1.3,4.3,1.3,4.3,1.3,2.26,0.69,2.26,0.69,2.30,0.70,3.6,1.1,3.6,1.1,3.6,1.1
6,0.167,0.051,0.210,0.064,1.61,0.49,1.61,0.49,1.61,0.49,2.66,0.81,2.66,0.81,2.66,0.81,1.44,0.44,1.48,0.45,1.48,0.45,2.33,0.71,2.36,0.72,2.36,0.72
4,0.157,0.048,0.197,0.060,1.02,0.31,1.02,0.31,1.02,0.31,1.67,0.51,1.67,0.51,1.67,0.51,0.95,0.29,0.95,0.29,0.98,0.30,1.51,0.46,1.51,0.46,1.51,0.46
3,0.154,0.047,0.194,0.059,0.82,0.25,0.82,0.25,0.82,0.25,1.31,0.40,1.35,0.41,1.31,0.40,0.75,0.23,0.79,0.24,0.79,0.24,1.21,0.37,1.21,0.37,1.21,0.37
2,0.148,0.045,0.187,0.057,0.62,0.19,0.66,0.20,0.66,0.20,1.05,0.32,1.05,0.32,1.05,0.32,0.62,0.19,0.62,0.19,0.66,0.20,0.98,0.30,0.98,0.30,0.98,0.30
1,0.151,0.046,0.187,0.057,0.49,0.15,0.52,0.16,0.52,0.16,0.82,0.25,0.85,0.26,0.82,0.25,0.52,0.16,0.52,0.16,0.52,0.16,0.79,0.24,0.79,0.24,0.82,0.25
1/0,0.144,0.044,0.180,0.055,0.39,0.12,0.43,0.13,0.39,0.12,0.66,0.20,0.69,0.21,0.66,0.20,0.43,0.13,0.43,0.13,0.43,0.13,0.62,0.19,0.66,0.20,0.66,0.20
2/0,0.141,0.043,0.177,0.054,0.33,0.10,0.33,0.10,0.33,0.10,0.52,0.16,0.52,0.16,0.52,0.16,0.36,0.11,0.36,0.11,0.36,0.11,0.52,0.16,0.52,0.16,0.52,0.16
